"WD11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E05000288",99.9999999999977,0,96.3034233741927,99.9999999999977,96.3034233741927,2
"E05000289",66.919461443052,0,5.35955556286134,66.919461443052,5.35955556286135,2
"E05000290",16.5918918232702,0,0,16.5918918232702,0,1
"E05000291",95.0152613035226,0,3.72305359775529,95.0152613035226,3.7230535977553,2
"E05000292",91.0831522103313,0,0,91.0831522103313,0,1
"E05000293",99.4754845340901,0,48.5034213046917,99.5636193267117,48.4152865120701,2
"E05000294",100.000000000007,0,0,100.000000000007,0,1
"E05000295",75.2845579484048,0,35.4208750023416,79.7644281464422,30.9410048043042,2
"E05000296",73.5780961984306,0,80.6806460751948,94.1524638887073,60.106278384918,2
"E05000297",59.602938687367,0,59.7614354473767,79.3538953912453,40.0104787434984,2
"E05000298",97.4030254017174,0,36.237471760136,100.000000000007,33.6404971618463,2
"E05000299",100.000000000002,0,0,100.000000000002,0,1
"E05000300",99.9999999999915,0,0,99.9999999999915,0,1
"E05000301",99.9999999999959,0,0,99.9999999999959,0,1
"E05000302",98.2938301520291,0,0,98.2938301520291,0,1
"E05000303",40.4485315387639,0,0,40.4485315387639,0,1
"E05000304",33.7522323889492,0,11.5748867208207,45.0967863180839,0.230332791685996,2
"E05000305",99.999999999998,0,6.70172681782238,99.999999999998,6.70172681782238,2
"E05000306",71.5597975891204,12.5879885058586,0,72.6978974435359,11.4498886514431,2
"E05000307",42.9450237795797,0,0,42.9450237795797,0,1
"E05000308",63.6766067225317,1.28627779173138,61.312210810623,91.0559511404156,35.2191441844705,3
"E05000309",64.5930770086934,3.47925216516534,0,64.5930770086934,3.47925216516533,2
"E05000310",0,2.76754588430918,0,2.76754588430918,0,1
"E05000311",40.685076128242,0,58.7917959503546,60.7047409986561,38.7721310799405,2
"E05000312",11.7583286582184,24.3606760794041,0,25.4735295793216,10.6454751583009,2
"E05000313",0,0,19.7372322304249,19.7372322304249,0,1
"E05000314",0.790866001502665,37.2756103237374,0,37.2756103237374,0.790866001502664,2
