MSOA11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E02000625,100.0,100.0,100.0,100.0,200.0,3.0
E02000626,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000627,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000628,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000629,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000630,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000631,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000632,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000633,100.0,100.0,100.0,100.0,200.0,3.0
E02000634,100.0,100.0,100.0,100.0,200.0,3.0
E02000635,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000636,100.0,100.0,100.0,100.0,200.0,3.0
E02000637,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000638,100.0,100.0,100.0,100.0,200.0,3.0
E02000639,100.0,100.0,100.0,100.0,200.0,3.0
E02000640,100.0,100.0,100.0,100.0,200.0,3.0
E02000641,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000642,100.0,100.0,100.0,100.0,200.0,3.0
E02000643,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000644,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000645,100.0,100.0,100.0,100.0,200.0,3.0
E02000646,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000647,100.0,100.0,100.0,100.0,200.0,3.0
E02000648,100.0,100.0,100.0,100.0,200.0,3.0
E02000649,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000650,100.0,100.0,100.0,100.0,200.0,3.0
E02000651,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000652,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000653,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000654,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000655,100.0,100.0,100.0,100.0,200.0,3.0
E02000657,100.0,100.0,100.0,100.0,200.0,3.0
E02000658,100.0,100.0,100.0,100.0,200.0,3.0
E02000659,100.0,100.0,100.0,100.0,200.0,3.0
E02000660,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000661,100.0,100.0,100.0,100.0,200.0,3.0
E02000662,100.0,100.0,100.0,100.0,200.0,3.0
E02000663,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000664,100.0,100.0,100.0,100.0,200.0,3.0
E02000665,100.0,100.0,100.0,100.0,200.0,3.0
E02000666,100.0,100.0,100.0,100.0,200.0,3.0
E02000667,100.0,100.0,100.0,100.0,200.0,3.0
E02000668,100.0,100.0,100.0,100.0,200.0,3.0
E02000669,100.0,100.0,100.0,100.0,200.0,3.0
E02000670,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000671,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000672,100.0,100.0,100.0,100.0,200.0,3.0
E02000673,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000674,100.0,100.0,100.0,100.0,200.0,3.0
E02000675,100.0,100.0,100.0,100.0,200.0,3.0
E02000676,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000677,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000678,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000679,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000680,100.0,100.0,100.0,100.0,200.0,3.0
E02000681,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000682,100.0,100.0,100.0,100.0,200.0,3.0
E02000683,100.0,100.0,100.0,100.0,200.0,3.0
E02000685,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000686,100.0,100.0,100.0,100.0,200.0,3.0
E02000687,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000689,100.0,100.0,100.0,100.0,200.0,3.0
E02000690,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000691,100.0,100.0,100.0,100.0,200.0,3.0
E02000692,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000693,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000694,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000695,100.0,100.0,100.0,100.0,200.0,3.0
E02000696,100.0,100.0,100.0,100.0,200.0,3.0
E02000697,100.0,100.0,100.0,100.0,200.0,3.0
E02000698,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000699,100.0,100.0,100.0,100.0,200.0,3.0
E02000700,100.0,100.0,100.0,100.0,200.0,3.0
E02000701,100.0,100.0,100.0,100.0,200.0,3.0
E02000702,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000703,100.0,100.0,100.0,100.0,200.0,3.0
E02000704,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000705,100.0,100.0,100.0,100.0,200.0,3.0
E02000706,100.0,100.0,100.0,100.0,200.0,3.0
E02000707,100.0,100.0,100.0,100.0,200.0,3.0
E02000708,100.0,100.0,100.0,100.0,200.0,3.0
E02000709,100.0,100.0,100.0,100.0,200.0,3.0
E02000710,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000711,100.0,100.0,100.0,100.0,200.0,3.0
E02000712,100.0,100.0,100.0,100.0,200.0,3.0
E02000713,100.0,100.0,100.0,100.0,200.0,3.0
E02000714,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000715,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000716,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000717,100.0,100.0,100.0,100.0,200.0,3.0
E02000718,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000719,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000720,100.0,100.0,100.0,100.0,200.0,3.0
E02000721,100.0,100.0,100.0,100.0,200.0,3.0
E02000722,100.0,100.0,100.0,100.0,200.0,3.0
E02000723,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000724,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000725,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000726,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000727,100.0,100.0,100.0,100.0,200.0,3.0
E02000728,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000729,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000730,100.0,100.0,100.0,100.0,200.0,3.0
E02000731,100.0,100.0,100.0,100.0,200.0,3.0
