"MSOA11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types","cluster","imd_score","income","employment","education","health","crime","barriers","living_environment"
"E02000815",100.000000000004,0,2.5490243919491,100.000000000004,2.5490243919491,2,"1",26.2240769013687,0.119240016932411,0.0727094680400734,15.1687351488641,-0.137130379568223,1.2092810780302,30.4993788627064,61.2168882460844
"E02000816",99.9999999999884,24.5902121522279,95.7540211519766,99.9999999999884,120.344233304205,3,"3",34.5616420121284,0.227160552738841,0.151165622825331,21.1421687046426,0.351982006163635,1.09147221393777,33.0192123471518,42.9524169400537
"E02000817",99.9999999999888,91.3476826027254,14.6189324656057,99.9999999999888,105.966615068331,3,"2",43.0777235580264,0.30690298818624,0.197488533703961,27.7856682418346,0.939780542043086,1.03883697011814,37.3104293259208,30.0681327310632
"E02000818",99.9999999999857,0,72.232034591872,99.9999999999857,72.232034591872,2,"3",39.0049275022778,0.244445398932709,0.153724977222439,16.8794534686971,0.635703761551477,1.54688077573864,33.4706628920994,50.7471906807237
"E02000819",99.9999999999889,0,99.9999999999889,99.9999999999889,99.9999999999889,2,"3",36.669003413746,0.234442762858443,0.152237710514338,19.1740071688666,0.578174556213018,1.00005370960401,37.7205094446973,47.8056381429222
"E02000820",100.000000000013,0,93.3700939952977,100.000000000013,93.3700939952977,2,"3",31.4311577198107,0.19893896666331,0.131344646993655,14.4145160640548,0.597801893443448,0.824602175445664,34.3083685164669,45.6748024977339
"E02000821",99.9999999999977,0,99.9999999999977,99.9999999999977,99.9999999999977,2,"3",38.8009034202756,0.249274237204724,0.16542876476378,21.423109128937,0.380576771653543,1.26861983267717,37.7851074064961,47.892000738189
"E02000822",99.9999999999912,0,94.4302281057983,99.9999999999912,94.4302281057983,2,"3",38.5101041809459,0.258545716244003,0.164868677176148,20.3330555174777,0.58485236463331,1.09604030157642,37.6462349554489,45.2497366689513
"E02000823",100.000000000004,0,48.8912997414325,100.000000000004,48.8912997414325,2,"3",34.4044747777906,0.236146254184463,0.148032552233637,14.6115236061411,0.29564989033822,1.16237919889184,33.2974551541037,45.1709150409789
"E02000824",100.000000000007,0.45021657068837,57.8727903814203,100.000000000007,58.3230069521086,3,"3",36.7249840451888,0.282704786443365,0.178347141016748,18.5424979684868,0.218621742146467,0.846187493806362,40.0865366167872,33.6182693489248
"E02000825",99.9999999999973,0,55.1100189299759,99.9999999999973,55.1100189299759,2,"3",36.402617134509,0.277981008035062,0.178226442658875,15.9343676301784,0.53162579567985,0.534165918814568,42.9379043097151,29.6370330794115
"E02000826",100.000000000017,0,13.1182993282274,100.000000000017,13.1182993282274,2,"1",34.1754870751292,0.244908370916291,0.14809569904301,13.7999147508525,0.364667253327467,1.05666307336927,33.7453063469365,45.7538935210648
"E02000827",100.000000000025,0,7.64727816345526,100.000000000025,7.64727816345525,2,"1",36.4747997082688,0.24139438417358,0.157732518916948,14.2301868903273,0.504834989515908,1.08583635700611,36.7352013857234,48.1278760142219
"E02000828",99.9999999999975,0,0,99.9999999999975,0,1,"1",39.0632779205607,0.274392289719626,0.170564485981308,17.8477732476636,0.234482593457944,1.42613072429907,37.0804716121495,44.3480829439252
"E02000829",100.000000000018,0,0,100.000000000018,0,1,"1",39.0724406217255,0.267089591337758,0.185246157876353,15.1313416870416,0.886859151239958,0.96501108976598,37.1953059727559,38.7808898882291
"E02000830",99.9999999999893,0,0,99.9999999999893,0,1,"1",24.7363076093986,0.154584824315585,0.112708881224402,6.60946809657254,0.0885684414744557,1.02677602931666,26.5398293813322,42.9948328303514
"E02000831",100.000000000003,0,0,100.000000000003,0,1,"1",28.987398808923,0.179342485111537,0.125878671646311,9.00287352377107,0.396143433935601,1.24264267689512,26.8114846068436,44.0775432522459
"E02000832",99.9999999999984,0,0,99.9999999999984,0,1,"1",34.3141614500607,0.265656825189199,0.177451088479865,18.0850066336541,0.462631224890218,0.605552648790059,33.2286527141923,34.2426935438662
"E02000833",99.9877712605295,0,0,99.9877712605295,0,1,"1",21.9733797372649,0.164501086853795,0.107624704659295,10.5465713070598,-0.106660901616104,0.514505812305075,29.1276069369625,30.2649995274549
"E02000834",99.9999999999883,0,0,99.9999999999883,0,1,"1",19.8198334026622,0.123338706322795,0.0938624168053245,5.99849542429285,0.0534653702163062,0.845759047420965,18.4742166181364,41.5124750415973
"E02000835",43.4618969532896,0,0,43.4618969532896,0,1,"4",24.4986356192426,0.179794268167861,0.122005885363357,7.89673426305015,0.11728505629478,0.782745649948823,27.6212551177073,32.6917913254862
"E02000836",74.9866789047008,0,0,74.9866789047008,0,1,"1",15.2797179700499,0.111066436890896,0.081675303066318,2.74949001663893,-0.247951390539577,0.654179938198241,15.3038472783456,33.7225019015926
"E02000837",78.9275458797077,0,0,78.9275458797077,0,1,"1",9.94481191856546,0.0488093568828367,0.0367099905622219,0.523677767291358,-1.2549514628556,0.867938789267898,13.4324309019819,34.1185428070649
"E02000838",91.851834891312,0,0,91.851834891312,0,1,"1",19.9757604951561,0.138808180839612,0.100597739504844,8.493663401507,-0.0538180839612487,0.65609601722282,20.8310791173305,36.7790724434876
"E02000839",99.7588689954968,0,0,99.7588689954969,-1.4210854715202e-13,1,"1",23.7337763238351,0.158565366271249,0.107612082670906,9.69840051363581,-0.18410407239819,1.12297872080225,29.0218362480127,27.5103781337899
"E02000840",0,0,0,0,0,0,"4",28.4044317160309,0.207554223810073,0.148251469401867,32.6341033767431,0.260683300679959,0.511193730552034,23.5430031116745,25.5142905382044
"E02000841",67.8189831906426,11.9345218496236,0,67.8189831906426,11.9345218496236,2,"1",28.5950126739844,0.20623141337558,0.144730112028969,30.9306196673079,0.271626230621252,0.394566708158877,25.2605072988571,29.3321666855268
"E02000842",84.7470460474101,97.0582278062088,0,97.0582278062088,84.7470460474101,2,"2",10.4200021820049,0.0745378000256706,0.0664820947246823,13.372278013092,-0.505364138108073,0.209427672955975,15.4471769991015,14.7756678218457
"E02000843",0,0,0,0,0,0,"4",16.7673077679449,0.122964929531301,0.0817541789577188,18.4612835136021,-0.315321206161914,0.330841363487381,20.8242717141921,25.8842589314979
"E02000844",23.6837991572664,0,0,23.6837991572664,0,1,"4",20.9066423124231,0.159371709717097,0.114830381303813,20.1272728167282,0.134611931119311,0.518570602706027,19.4951857318573,18.6350622386224
"E02000845",70.1446284395965,0.0282545958740066,0,70.1728830354705,4.2632564145606e-14,2,"1",9.02360771937086,0.0842405836092715,0.0553024627483444,10.1694257036424,-0.924237065397351,-0.145298427152318,18.7487448261589,14.364515625
"E02000846",99.9999999999909,65.8366462286216,0,99.9999999999909,65.8366462286216,2,"2",11.5753018685121,0.087634740484429,0.0664489965397924,9.56508761245675,-0.610669480968858,0.340373702422145,20.0935002076125,18.4980071972318
"E02000847",91.019906842143,9.91995691607474,0,91.019906842143,9.91995691607474,2,"1",6.47337107599047,0.063323879627625,0.0533751894349426,6.95089056072743,-0.828508335137476,-0.297054882009093,14.3229896081403,11.5425484953453
"E02000848",100.000000000009,69.8844296732457,0,100.000000000009,69.8844296732457,2,"2",7.24029177026355,0.0606842366981601,0.0480346842366982,11.3355215067131,-0.933717429139731,0.0693141471904525,13.1690507210343,12.2884163351566
"E02000849",56.6167792846159,0,0,56.6167792846159,0,1,"4",14.3756256026389,0.11472227860949,0.08398756660746,10.0465300685105,-0.379757929459528,0.487876807916772,17.0857174574981,18.9857245622938
"E02000850",7.09565355226624,0,0,7.09565355226624,0,1,"4",11.9855003748126,0.0880257683658171,0.0720876124437781,12.1174473388306,-0.642385213643178,0.246808658170914,19.9166392428786,14.6883719077961
"E02000851",100.000000000006,25.0852473600561,0,100.000000000006,25.0852473600561,2,"1",23.9687990357221,0.169804514573745,0.121249835634451,15.2127131273285,0.215485864562788,0.714980056980057,22.1730374753452,29.8320074512382
"E02000852",100.000000000009,0,0,100.000000000009,0,1,"1",10.1392659629248,0.0796404479917611,0.066893666323378,9.14678166838311,-0.503346292481977,-0.0174642121524202,13.5970769824923,22.5497915808445
"E02000853",99.9999999999907,69.8384704364579,0,99.9999999999907,69.838470436458,2,"2",12.9230613481444,0.101777581418834,0.0788660691744509,11.4361724312042,-0.53506652360515,0.0526079272910881,20.2787456450391,19.488633678364
"E02000854",79.9045784324839,0,0,79.9045784324839,0,1,"1",10.6578781781101,0.083838341264446,0.0758713800135962,6.09971257647859,-0.620871244051665,0.255783684568321,13.6124134602311,17.7142920462271
"E02000855",49.7974035572879,0.413547090284737,0,49.7974035572879,0.413547090284737,2,"4",5.78935745422842,0.0505355586000747,0.0476020675052933,4.54356744301906,-1.10678876572425,-0.302090422219454,15.9110945323203,14.1663246979699
"E02000856",97.7369147086192,0,0,97.7369147086192,0,1,"1",12.5858089471914,0.094305079044736,0.0738153380423814,5.78204406323579,-0.633528422468887,0.373628321560713,16.9700787083754,28.323792465523
"E02000857",84.3352681461856,0,0,84.3352681461856,0,1,"1",11.8939465383277,0.0973477907920677,0.0611187521744173,4.09807723530094,-0.417636437434768,-0.00456036182303144,21.4620569407399,27.3115295140902
"E02000858",29.7671420420693,0,0,29.7671420420693,0,1,"4",34.1905133139676,0.266502178649237,0.191812878237715,31.1823478576616,0.391539941902687,0.864395787944808,22.8358710965868,14.2482822561123
"E02000859",86.2667975760476,0,0,86.2667975760476,0,1,"1",13.0655262417994,0.108234653233365,0.0846894329896907,7.36426932989691,-0.438561972820993,0.0497840909090909,18.0927488284911,19.3474887535145
"E02000860",64.9889748023745,0,0,64.9889748023745,0,1,"1",21.2594524040796,0.155403472559495,0.117644001942691,11.0690420106848,0.141672413793103,-0.29631629431763,30.2033088878096,29.1004278776105
"E02000861",37.2208750170003,0,0,37.2208750170003,0,1,"4",4.79817084252889,0.0348705699078281,0.0414843567441257,1.61210372582111,-1.29261183954304,-0.448750876281968,21.889104634558,8.93658470725691
"E02000863",11.5861239391114,2.44343674151634,4.07466477243496,15.3256584505961,2.77856700246658,3,"4",12.4838381962865,0.082157382847038,0.078569702328323,8.82581373415856,-0.859156203949307,0.496358384910109,24.2542281167109,10.9436796345417
"E02000864",100.000000000001,0,31.2878004200419,100.000000000001,31.2878004200419,2,"1",42.8248195945251,0.309354121642482,0.188087681383143,24.0085859833282,1.10911021920346,1.07050838736235,34.8694790573222,32.5956435113718
"E02000865",99.9999999999985,0,39.8038584455912,99.9999999999985,39.8038584455912,2,"1",44.2788628571429,0.308804952380952,0.193812571428571,22.3053975873016,0.912323682539683,1.133496,37.8007503492063,43.2378082539683
"E02000866",100.000000000011,0,42.6090423166111,100.000000000011,42.609042316611,2,"3",30.0646153255233,0.195821010178606,0.121370078740157,13.929550797004,0.25348703668139,1.37117870174765,27.6928212982524,42.5467705012483
"E02000867",100.000000000001,0,60.8162062361031,100.000000000001,60.8162062361031,2,"3",31.6380554009613,0.220697276330213,0.112167299097732,14.7158183657981,0.558876212159541,0.74906568850662,36.3310537988026,44.583297495573
"E02000868",100.000000000013,0,0.0130968207548416,100.000000000013,0.0130968207548392,2,"1",34.5197693513899,0.235217248752673,0.12711789023521,11.5448748396294,0.667347113328582,1.24409950106914,34.1019133285816,44.5209568068425
"E02000869",100.000000000008,0,0,100.000000000008,0,1,"1",40.054601946472,0.25734095701541,0.16034403892944,14.6042577453366,0.869619140308191,1.52806261151663,33.4837438767234,46.1252335766423
"E02000870",100.000000000005,0,0,100.000000000005,0,1,"1",38.9607308240081,0.278752187182096,0.159888911495422,23.2581892166836,0.867142421159715,0.957603458799593,37.0126305188199,38.755598982706
"E02000871",100.000000000014,0,100.000000000014,100.000000000014,100.000000000014,2,"3",43.460698192322,0.345213101006336,0.181224748415952,21.1626517890421,0.594196421915766,0.982587868058144,42.5914197726426,35.8147281960492
"E02000872",100.000000000016,0,0,100.000000000016,0,1,"1",36.8660875920945,0.253839550929716,0.138363700152029,13.8827513741083,0.565145246170039,1.1646403929365,37.7207684481347,48.4632989124079
"E02000873",99.9999999999971,0,0,99.9999999999971,0,1,"1",31.2951668593044,0.2250925711884,0.117812651045498,19.6590418199012,0.362147105180204,0.447305033098666,39.6784737837554,42.1194638016182
"E02000874",100.000000000004,0,0,100.000000000004,0,1,"1",40.3175054945055,0.267312687312687,0.15075024975025,24.9992628482628,0.650192363192363,1.23488689088689,40.9878321678322,42.8666701076701
"E02000875",100.000000000008,0,87.6969368227983,100.000000000008,87.6969368227983,2,"3",43.9343805746661,0.327283690813436,0.180111371914205,23.6351520841764,0.777470093079725,0.929687980574666,44.6734258195063,35.0913362201538
"E02000876",99.9999999999997,0,0,99.9999999999997,0,1,"1",42.05572109375,0.265690885416667,0.15615,18.050384375,0.758245963541667,1.30034895833333,38.69883359375,56.3574552083333
"E02000877",99.9999999999908,0,1.47589955223729,99.9999999999908,1.47589955223728,2,"1",43.6585344436033,0.312494490705694,0.175303557910674,24.9001065690975,0.664071242324838,1.28754293885104,42.0121044663134,34.6579327109092
"E02000878",99.9999999999984,0,0,99.9999999999984,0,1,"1",36.8428759587411,0.227330953010667,0.141205060389668,16.2551005906727,0.534702900467249,0.951588204178789,39.8438921801992,52.1388351406154
"E02000879",99.9999999999879,0,0,99.9999999999879,0,1,"1",37.8333734333035,0.269003133393017,0.156709713518353,18.9719104744852,0.663010854968666,0.984816808415398,39.8033716427932,40.2576834153984
"E02000880",100.000000000001,0,0,100.000000000001,0,1,"1",42.8883172051568,0.28403421932198,0.149327073054273,18.0464082444692,1.06623810281713,1.55574152474932,39.1515392328505,42.1178707623747
"E02000881",99.9999999999906,0,54.6455521070339,99.9999999999906,54.6455521070339,2,"3",51.0237665638495,0.367498704503393,0.212736088834053,36.4731480567551,0.8532974706971,1.12682072794571,43.4664708204812,33.5249774213448
"E02000882",99.9999999999888,0,0,99.9999999999888,0,1,"1",42.4378998219937,0.319794007120253,0.187002472310127,26.0932065862342,0.906227452531646,0.651571993670886,41.6581935324367,32.4749335443038
"E02000883",100.000000000001,0,8.57282494932055,100.000000000001,8.57282494932055,2,"1",52.8045624449339,0.367047246696035,0.24655936123348,38.1715327092511,0.970379074889868,1.07132973568282,40.5407441629956,35.9106613436123
"E02000884",99.9999999999864,0,0,99.9999999999864,0,1,"1",30.7073905908096,0.19047492706054,0.0965084792122538,13.0701974835886,0.277348741794311,0.556749817651349,37.2970919037199,64.9981280999271
"E02000885",99.9999999999954,0,0,99.9999999999954,0,1,"1",41.4116124143257,0.318711844772661,0.169005309392799,21.4077846317212,0.63847041220195,0.889262670141906,41.1713397046047,40.6453506129935
"E02000886",99.9999999999967,0,0,99.9999999999967,0,1,"1",31.5393863554758,0.227291801316577,0.129552842609216,15.3301710353082,0.282166128067026,0.818453500897666,35.9140830640335,41.2096823459007
"E02000887",100.000000000007,0,0,100.000000000007,0,1,"1",45.307522985133,0.341829812206573,0.193476134585289,27.7145091940532,0.913517214397496,1.02194835680751,41.1443677621283,29.9532675078247
"E02000888",99.9999999999855,0,0,99.9999999999855,0,1,"1",31.3165786558898,0.206594970812753,0.104989223170184,16.7287540787307,0.183365963179165,0.889515940727436,40.2797290824727,45.54364900464
